TMD8_DMSO_rep1	TMD8_DMSO_rep2	TMD8_DMSO_rep3	TMD8_JIB04_150nM_rep1	TMD8_JIB04_150nM_rep2	TMD8_JIB04_150nM_rep3	TMD8_JIB04_500nM_rep1	TMD8_JIB04_500nM_rep2	TMD8_JIB04_500nM_rep3
TROVE2	1245.9497	1370.056	1464.6585973	943.72641852	1009.6498	1294.4098	982.1683457488	841.334634747	604.0695
TRPA1	0	0	0	0	0	0	3	1	0
TRPC1	91	88	99	93	100	159	126.0002	110	89
TRPC2	0	0	0	0	0	0	0	1	0
TRPC3	2	0	1	3	3	2	4	5	2
TRPC4	0	0	0	0	0	0	0	0	0
TRPC4AP	1161	1405	1426.004	984	1173	1466	1200	1073	726
TRPC5	5	9	7	10	3	16	4	3	3
TRPC5OS	0	0	0	0	0	0	0	0	1.0000000126105
TRPC6	0	4	4	4	5	4	4	8	8
TRPC7	0	0	0	0	3	6	1	4	3
TRPM1	38.882400633701	48.98680588038	48.076615185	34.52430314315	42.66120532517	48.9686453	32.672100828652	34.60900615121	25.38470309728
TRPM2	733	842.9995	928.9996	785.0004	870	1234	1070	935.0004	719.0003
TRPM3	0	0.99999960062	0	0	0	1.00000030889081	0	0	0
TRPM4	2656.0012	3117.9992	3382.0008	3115.0022	3311.001	4830	3195.0032	2894.9963	2146.0048
TRPM5	4	5	7	3	7	11	35	26	19
TRPM6	975.3671	973.029100104847	1074.39780045968	603.376800043437	591.734100067178	707.685200120188	384.535400039117	305.198300057487	268.98664002945
TRPM7	2882.68	2990.64	3402.48	2316.93	2415.94	3340.95	2728.1	2472.51	1766.52
TRPM8	21.412	31.1368	43.2459	27.9803	30.7673	35.04	30.43	19.8587	20.4411
TRPS1	4517	11990	11843	8513	8546	12491	9588	8303	5213
TRPT1	166.81787	173.00006	183.00008	116.22193	132.00006	159.99999	119.21322	131.4891	85.000050195268
TRPV1	127.81845	191.0163	199.5541	162.237	202.7789	314.8475	255.9583	247.6975	172.5257
TRPV2	857	835	977	565	555	650	409	365	281
TRPV3	41	48	46	85	101.00006698	141.0003	180.999543151	172	113
TRPV4	0	0	0	2	1	0	4.000000157802	4	1
TRPV5	1	0	2	0	2	3	0	0	1
TRPV6	2	3	3	3	3	7	4	1	3
TRRAP	6181	6271	7021	4490	4788	6810	5249	4719	3456.996
TRUB1	780	716	789	522	488	660	518	443	309
TRUB2	1165	1144	1267	715	700	886	569	555	392
TSACC	54.148	76.9069	85.8614	47	54.0183	75.91	42.0262	41.0268	35
TSC1	1183.995	1203.9998	1301.0003	1069.0001	1181.0001	1731.0033	1533.9953	1372.002	965
TSC2	837	959	1111	867	990.0002	1456.999	1402	1043	845
TSC22D1	493.86193	490.27535	583.81494	381.46577	397.62052	590.95428	446.91242	398.31821	308.77852
TSC22D1-AS1	99.6562	142.049	138.596	118.162	124.195	214.807	145.825	147.013	80.3435
TSC22D2	668	692	784	687	685	1074	821	768	576
TSC22D3	18.99997	16.00004	32.99998	121.9999	130	189.00047	233.00038	241.0004	173.00009
TSC22D4	883	989	1083	739	810	1223	864	816	625
TSEN15	791.9998	758.9995	867.0003	640.0002	644.0001	854.9998	659	576	404.9997
TSEN2	251.0001231	295.0447	369.999596	219	217	307.00006	185.0723159	150.00004	120.99999
TSEN34	1238.998	1432.809	1517.271	962.238	1031	1403.452	1027.224	937	641.215
TSEN54	306	341	424	261	254	384	302	276	206
TSFM	565.7171	647.64199	749.47936	428.7803	399.4648	590.11699	376.1978	327.2093	226.1353
TSG1	403.219	447.79	547.389	335.078	360.145	624.779	475.796	432.377	297.566
TSG101	779	848	899	629	626	819	642	572	416
TSGA10	52	58	43	65	66	100	84	79	53
TSGA10IP	0	5	1	0	0	4	2	0	3
TSGA13	2	0	2.00494	2	1	7.02255	6	4.02161	3
TSHB	0	0	0	0	0	0	0	0	0
TSHR	11	20.99999	17.99998	14	16	35	24.00004	27	12
TSHZ1	1285	1314	1498	1040	1063	1482	1174	1110	800
TSHZ2	210.7738	281.008	254.475	217.877	207.2994	301.693	247.309	212.935	141.9139
TSHZ3	1	0	0	0	0	0	0	0	0
TSIX	4340.47	5053.33	5218.79	4514.56	5142.41	9956.35	6695.83	5592.81	4260.17
TSKS	18	20	25	26	25	43	14	18	13
TSKU	94	135.0003	144	70	96	107	71.99999	56	40
TSLP	3	4	4	1	7	6	6	1	3
TSN	1918.0036	2081.56888	2258.10879	1410.7819	1279.20793	1841.69856	1249.59193	1127.42548	750.78291
TSNARE1	111	160	173	161	199	276	280	254	206
TSNAX	1577.19	1704.51	1875.83	1268.45	1220.26	1607.17	1098.01	997.161	741.9
TSNAX-DISC1	10.27959	17.38779	13.90602	2.14799	10.8711	16.55901	12.4767	4.91627	3.96056
TSNAXIP1	21	17	24	17	22	20	18	22	26
TSPAN1	2	2	4	6	0	0	3	3	1
TSPAN10	0	0	3	0	0	1	2	5	1
TSPAN11	1	1	0	3	0	5	5	2	1
TSPAN12	7	9	15	7	8	15	13	8	7
TSPAN13	160	175	221	122	109	136	101	93	66
TSPAN14	553.7222	694.51	854.4193	520.7229	573.719	806.0188	656.799	599.3555	421.06432
TSPAN15	19	15	20	24	19	17	27	14	10
TSPAN16	1	1	1	0	2	1	1	1	2
TSPAN17	333.0003	386.0002	431.0001	306.0005	325.9999	447.9998	361	316.9997	237.9995
TSPAN18	50.0128	63	56	40	33.0092	73	60	60	37
TSPAN19	0	0	0	0	0	0	0	0	0
TSPAN2	10	7	4	9	6	13	7	6	8
TSPAN3	1888.0032	1863.99507	2129	1388.00082	1435	1758.00412	1273.00128	1189.99649	890
TSPAN31	150.887	179.474	217.581	155.085	174.602	200.011	196.443	188.646	108.45
TSPAN32	11	18	25	11	27	26	19	12	18
TSPAN33	588	627	739	592	637	861	807	702	538
TSPAN4	165	193.99989	231.00041	133.99991	144.99985	176.0004	153.0001	120	85.99992
TSPAN5	23	21	26	14	22	24	37	34	17
TSPAN6	2.58767	4.00573	8.2704	3.90581	2.44557	3.74099	3.77793	6.47938	6.46866
TSPAN7	2654	4131	3427	2648	2851	9815	3465	3260	2812
TSPAN8	0	0	0	0	0	0	0	0	0
TSPAN9	17.000000119014	28	32	13.000000547839	26	26	28.99996	28	16
TSPEAR	8.000000053593	3.00000016084	6.000000893956	4.000000161648	6.000000336494	22.00000166601	8.000000414119	15.00000121878	11.000000604645
TSPO	184.000190267509	215.00017	235.00044	129.99973	106.99995	92	67.99996	42.99998	42
TSPO2	4	5	3	3	7	7	8	7	2
TSPY1	1	1	0	0	0	5	0	0	0
TSPY2	0	0	0	0	0	0	0	0	0
TSPY26P	11	28	36	44	43	62	55	58	31
TSPY3	0	0	0	0	0	0	0	0	0
TSPY4	0	0	0	0	0	0	1.01763e-08	2.33324e-08	0
TSPY8	0	0	0	0	0	0	1	2	2
TSPYL1	677.264	875.646	907.84	657.081	666.085	925.293	668.72	549.596	417.419
TSPYL2	693	775	915	761	979	1433	1410	1313	927
TSPYL4	563	567	658	397	442	520	436	378	275
TSPYL5	0	0	0	0	0	0	0	1	0
TSPYL6	1	2	1	4	3	6	5	1	4
TSR1	3238.18	3443	3954.33	2066.94	2076.98	2592.07	1584.99	1370.23	989.74
TSR2	233	360	402	246	259	380	267	220	156
TSR3	465.371	549.255	616.114	414.156	396.055	581.488	348.085	311.644	208.463
TSSC1	565	585	685	498	473	610	480	398	322
TSSC4	283	332	420	295	277	386	326	272	194
TSSK1B	0	0	0	0	0	0	0	1	0
TSSK2	0	0	0	0	0	0	0	0	0
TSSK3	31	33	35	32	31	39	46	39	19
TSSK4	79	99	102	73	76	99	54	51	30.99996
TSSK6	39	30	39	29	43	47	47	41	27
TST	196.9997	204.9995	245.9996	131	115	169.0004	99	75	64.00004
TSTA3	1369	1518	1744	1016	1014	1273	828	710	589
TSTD1	104.00003	114.00003	146.0004	89.00004	116.99998	143.00004	114.99999	88	67.00001
TSTD2	616.454	655.531	646.67	464.543	475.503	615.101	460.31	419.683	310.238
TSTD3	42.2973	82.7742	90.8219	51.9763	60.2187	97.5517	86.0293	59.3588	38.9769
TTBK1	7	6	6.00058	7	9	6	9	5	10.0012
TTBK2	407	469	501	399	481	676	584	532	429
TTC1	1118	1195	1321	773	750	1090	757	660	449
TTC12	78	74	75	52	52	91	68	64	49
TTC13	584	589	721	464	448	648	473	429.9998	317.9999
TTC14	996	936	1086	829	783	1261	1059	916	666
TTC16	5	1	3	1	3	4	6	3	5
TTC17	1089	1171	1305	1177	1260	1869	1590	1400	1039
TTC18	21	13	30	23	35	47	31	42	23
TTC19	544.42	616.455	675.968	421.061	472.707	655.408	467.963	452.917	313.227
TTC21A	180.9999	189	186	148	188	240.9998	218.9999	200.0004	146
TTC21B	1075.41	1152.47	1220.32	945.04	973.821	1350.61	1047.04	951.12	695.34
TTC22	23	31	37.1024	19.0968	23	41.00005	24	14	12.00004
TTC23	41.45387695	57.4987	57.6120000118184	43.34574	51.34111	74.96573	63.3779	55.63124	47.281707036
TTC23L	2	4	5	0	2	5	2	3	0
TTC24	12	31	29	27	34	50	42	35	23
TTC25	8	7	7	3	1	6	12	6	9
TTC26	164.0004	147.99959	154.00043	109	97.99997	154.9997	109	97	63
TTC27	703.00000002078	703.9997	754	454	461.0001	609	440.0003	397	300.0001
TTC28	315.988	337.009	377.837	310.563	313.93	539.332	424.237	341.536	297.987
TTC28-AS1	68.3104	52.1444	60.15548	45.20701	55.25955	76.5201	60.1923	44.08232	34.08078
TTC29	0	0	0	0	1	1	0	1	0
TTC3	2360.946	2423.91	2693.96	1867.934	1974.96	3007.86	2378.83	2021.884	1505.943
TTC30A	75.714	71.0856	78.295	48.8541	51.9119	69.0316	60.1987	48.7046	35.8624
TTC30B	81.286	83.9144	87.705	60.1459	61.0881	93.9684	80.8013	72.2954	56.1376
TTC31	525	487	648	479	561	743	530	455.9999	387
TTC32	66	84	67	56	73	89	52	83	41
TTC33	431	439	467	352	353	494	421	378	257
TTC34	4	9	7	4	4	9	10	7	5
TTC36	7	13	7	8	15	13	15	9	9
TTC37	2744	2722	3065	2051	2107	2799	2211	1930	1330
TTC38	49	57	71	51	61	67	50	42	17
TTC39A	19.99995139	26	12.000028373	11.999977711	7.999996534	13.000045674	7.999995486	2.0000014282	3
TTC39B	6.000005	9.9999988183	5	3	6.0000024487	4.00000052	9	4.0000010945	0
TTC39C	872.152	1039.2654	1199.53	789.7997	779.9126	1116.4762	947.8769	820.0849	574.2807
TTC3P1	12.0508	12.0831	7.03523	12.066	7.03598	15.1354	15.1712	12.1197	13.0572
TTC4	707.445	753.97	838.421	504.139	458.132	674.396	400.473	383.444	255.075
TTC40	0	1	0	0	2	1	2	1	0
TTC5	402	392	468	304	279	366	290	280	170
TTC7A	1077.94	1207.73	1272	890.549	971.734	1265.64	1120.69	995.385	726.015
TTC7B	276	274	260	181	207	276	184	182	120
TTC8	100	85	94	53.0000192652	56.2343	70	59.00000123446	71	46
TTC9	3	6	4	7	6	12	12	11	6
TTC9B	1	2	1	1	2	0	3	1	3
TTC9C	306	351	374	240	254	359	249	219	178
TTF1	772.57300187187	764.9598	883.3492	565.2322	579.3433	833.7626	582.494	520.2297	353.951
TTF2	1758.71	1866.96	2163.88	1250.08	1351.52	1830.73	1225.81	1038.92	733.547
TTI1	1314	1481	1556	1023	1113	1472	1135	1013	708
TTI2	330.698	380.3819	451.474	281.011	276.7179	338.938	290.427	269.0116	200.5893
TTK	1404.001	1442.996	1569.004	798	799.0002	953.9996	610.9998	542	375
TTL	1241.95	1378.81	1500.93	871.94	941	1218.84	908.972	768	613.782
TTLL1	17.99997	19	29	17	21	37.99998	29	29.00001	14
TTLL10	0	0	0	1	0	1	4	3	2
TTLL11	67	83	102	78	82	118	113	96	52
TTLL12	3603	4340	4697	2532	2476	2982	1739	1592	1126
TTLL13	6	7	4	6	7	10	3	7	10
TTLL2	0	0	0	0	0	0	0	0	0
TTLL3	416.847	552.327	604.12	475.623	438.759	692.754	597.776	519.379	400.409
TTLL4	1188	1180	1264	726	802	1051	673	604	492
TTLL5	951	932	1059	694	772	1105	874	805	515
TTLL6	0	0	0	0	1	1	0	1	0
TTLL7	630	721	759	588	656	851	652	592	465
TTLL9	3	4	1	4	1	11	6	5	5
TTN	1600.363281	1918.905548	1996.94768901017	2340.542472	2570.41670781536	4500.3974	3772.2684	3234.4017794	2298.43136
TTN-AS1	187.6352	189.0953	247.0518	202.4665	233.583	278.6012	322.739	261.5932	195.5703
TTPA	24.5227	39.019	53.2437	37.4213	42.391	44.3179	45.9832	41.376	20.2797
TTPAL	1060.242	1193.0492	1350.214	841.088	893.934	1212.193	831.4990671	720.5642	502.1173
TTR	0	0	0	0	0	0	0	1	0
TTTY1	0	0	0	0	0	0	0	0	0
TTTY10	4	4	10	8	8	8	4	5	3
TTTY11	0	0	0	0	0	0	0	0	0
TTTY12	0	1	0	0	0	0	0	0	0
TTTY13	0	0	0	0	0	0	0	0	0
TTTY14	0	0	0	0	0	0	0	0	0
TTTY15	1296.19	1366.24	1481.02	1130.16	1221.99	1705.39	1350.18	1173.08	844.508
TTTY16	0	0	0	0	0	0	2	0	0
TTTY17A	0	0	0	0	0	0	0	0	0
TTTY17B	0	0	0	0	0	0	0	0	0
TTTY17C	0	0	0	0	0	0	0	0	0
TTTY18	0	0	0	0	0	0	0	0	0
TTTY19	0	0	0	0	0	0	0	0	0
TTTY1B	0	0	0	0	0	0	0	0	0
TTTY2	0	0	0	0	0	0	1	0	0
TTTY20	0	0	0	0	0	0	0	0	0
TTTY21	0	0	0	0	0	0	0	0	0
TTTY21B	0	0	0	0	0	0	0	0	0
TTTY22	0	0	0	0	0	0	0	0	0
TTTY23	0	0	0	0	0	0	0.5	0.5	0.5
TTTY23B	0	0	0	0	0	0	0.5	0.5	0.5
TTTY2B	0	0	0	0	0	0	1	0	0
TTTY3	0	0	0	0	0	0	0	0	0
TTTY3B	0	0	0	0	0	0	0	0	0
TTTY4	0	0	0.333333	0.333333	0	0	0.333333	0	0.333333
TTTY4B	0	0	0.333333	0.333333	0	0	0.333333	0	0.333333
TTTY4C	0	0	0.333333	0.333333	0	0	0.333333	0	0.333333
TTTY5	0	0	0	0	0	0	0	0	1
TTTY6	0	0	0	0	0	0	0	0	0
TTTY6B	0	0	0	0	0	0	0	0	0
TTTY7	0	0	0	0	0	0	0	0	0
TTTY7B	0	0	0	0	0	2	0	0	0
TTTY8	6.5	13.5	12.5	12	11.5	13	11.5	10	7
TTTY8B	6.5	13.5	12.5	12	11.5	13	11.5	10	7
TTTY9A	0.5	2	0.5	0.5	0	1.5	1	0.5	1
TTTY9B	0.5	2	0.5	0.5	0	1.5	1	0.5	1
TTYH1	68	94	126	102.00006	94	126	126	100	71.00005
TTYH2	438	471	508	206.9996	219.0001	282.0004	147.0004	106	81
TTYH3	486	547	649	853	1010	1525	1311	1079	860
TUB	179	146	218	112	136	168	141	134	84
TUBA1A	982.78813	997.5469	1097.1078	688.47	699.572	985.582	843.774	781.394	527.686
TUBA1B	22843.6	23705.7	27082	13054.4	12810.1	16165.6	9465.38	8313.15	6084.83
TUBA1C	3401.64	3519.76	4066.9	1792.09	1797.36	2127.79	1167.84	1008.46	786.485
TUBA3C	1.04268	0	1.10325	0	1.02457	1.01854	1.02772	0	0
TUBA3D	40.3271	64.5803	47.6895	26.5637	41.6894	55.5925	35.3023	25.6427	22.8146
TUBA3E	9.63018	7.41973	7.20721	1.43629	1.28599	1.38896	2.66994	2.35729	2.18543
TUBA3FP	19.4693	52.8885	47.8707	33.5817	45.7646	68.5789	40.9972	43.244	38.6155
TUBA4A	967.793	1022.75	1125.8	554.673	615.612	755.37	559.711	506.821	399.835
TUBA4B	17.2073	22.2528	26.1962	30.1665	33.3876	52.6301	55.2894	46.1793	33.1645
TUBA8	18.99998	17	22.0000112028	6	12	17	18	17	12.00000244924
TUBAL3	0	0	0	0	0	0	0	1	2
TUBB	29946	31073	35666	18098	18125	23704	14069	12469	9353
TUBB1	154	157	190	105	97	132	75	81	61
TUBB2A	406.079	444.239	493.924	310.045	286.152	382.964	267.129	221.803	162.732
TUBB2B	701.024	744.991	841.258	506.787	525.247	708.899	456.348	452.418	290.112
TUBB3	179.52906	185.14391	218.367	108.021	142.20254	199.47733	230.982	251.4266	180.74581
TUBB4A	553	619.003	720.664	426.658	410.979	610.856	372.106	320.276	251.585
TUBB4B	4429.33	4937.58	5737.7	2862.24	2972.15	3897.87	2968.6	2587.72	1897.16
TUBB6	5134	5549	6123	3963	4112.97	5152	3500	2956	2196
TUBB8	0	0	0	2	1.00108	1	3	0	1
TUBBP5	1	1.00012	1.0002	5	1.00038	2	3	2.00044	0
TUBD1	201.28436	226.05339002227	273.0463	163.649000018933	152.375300016545	204.4388234367	133.547357	134.12239	100.2485
TUBE1	71	88	79	78	81	87	115	98	69
TUBG1	1460.36	1442.56	1582.6	914.381	967.459	1379.85	947.751	768.578	571.368
TUBG2	150.638	137.442	190.395	160.619	145.541	243.148	199.249	200.422	111.632
TUBGCP2	1454.3	1488.1199	1702.1422	1090.4866	1082.0956	1528.924	1123.5552	1013.5505	769.736
TUBGCP3	1427	1471	1598	1090	1152	1479	1124	1033	751
TUBGCP4	612.891	758.839	877.151	490.645	520.773	698.812	518.814	482.417	345.793
TUBGCP5	796.3644	922.4883	1003.2498	642.6911	676.3912	922.2096	725.3985	651.3874	436.8894
TUBGCP6	1125	1331	1472	1227	1370	2114	1832	1507	1108
TUFM	5232	5588	6221	3752	3793	5004	3254	2874	2010
TUFT1	32.5586	50.0884	62.0776	58.3308	61.3486	71.1286	68.5814	57.9295	42.08493
TUG1	3550	3617	4188	2859	2967	3981	3049	2772	1900
TULP1	0	2	2	1	0	5	1	0	1
TULP2	9	19	20	17	25	25	36	20	18
TULP3	229	240.9999	262	201	231	341	279.9997	234	196
TULP4	553.852	629.947	713.906	541.64	570.5221	844.974	634.5418	558.1011	408.5687
TUSC1	0	0	0	0	0	0	0	0	0
TUSC2	436	475	568	381	362	489	328	327	215
TUSC3	0	0	0	1	0	3.0000000519082	12.000000137101	11	10.000000122039
TUSC5	1	0	1	1	1	4	0	1	1
TUT1	473	602	709	421	462	613	491	454	303
TVP23A	61.7163	91.6428	120.495	79.8437	83.9802	144.287	108.295	90.3337	80.5331
TVP23B	264.066	302.895	295.072	258.39	243.146	319.513	248.82	220.236	146.376
TVP23C	122.89998	217.7098	245.7189	207.3281	236.3185	356.6232	250.1631	277.9604	183.8672
TVP23C-CDRT4	6.60305	6.60633	6.63548	18.1829	12.3894	39.3464	25.8628	14.6522	5.74303
TWF1	795	818	915.0004	568.9996	637.00000145651	731	632.0000569	567	387
TWF2	1474	1792	1926	1295	1387	1847	1392	1260	873
TWIST1	0	0	0	0	0	0	0	0	0
TWIST2	0	0	0	0	0	0	0	0	0
TWISTNB	1160	1129	1263	682	617	800	463	453	310
TWSG1	398	432	412	362	325	454	328	314	201
TXK	3	3	2	1	7	7	5	6	6
TXLNA	1438	1532	1731	1162	1197	1711	1228	1076	775
TXLNB	199	172	212	210	275	396	407	411	281
TXLNG	1175.0004	1191.9995	1349.9987	778	714	978.9997	643	504.365	441.00044
TXLNG2P	1707.69	1749.859	1875.348	1437.311	1422.087	2173.831	1628.226	1374.269	1093.878
TXN	1556.99629	1565.99913	1655.9961	989.99999	941	1106.99729	883.99986	774.99952	552.99984
TXN2	1088	1171	1351	787	858	1104	760	651	489
TXNDC11	1101	1102	1257	1080	1223	1644	1477	1348	946
TXNDC12	604.8684	694.8956	681.2416	428.2547	453.8982	632.1986	514.1439	475.2458	316.9068
TXNDC15	492.011	597.865	739.081	442.421	470.284	685.61	568.705	453.721	315.364
TXNDC16	300	323.000017836	365.0003	273	242	395	335	302	223.9999
TXNDC17	431.182	445.572	474.32	264.422	260.671	352.119	211.573	216.104	111.321
TXNDC2	0	0	0	0	0	0	0	0	1
TXNDC5	1230.784	1436.1152	1701.0947	965.6448	1060.1505	1341.5525	1002.0142	955.8941	615.3673
TXNDC8	0	0	0	0	1	1	0	0	0
TXNDC9	452	517	605	320	377	406	316	275	191
TXNIP	1172	1181	1227	1228	1320	1809	1495	1349	1020
TXNL1	1502.0046	1618.9971	1708.0044	1035.9973	1043.9962	1439.99885	1129.99638	942.9999	715.99953
TXNL4A	1653	1832	2105	1209	1162	1505	1009	1000	706
TXNL4B	321.0782	386.4285	400.3581	249.4119	238.7058	299.64651	283.75892	253.10057	194.5237
TXNRD1	3244.9971	3490.0037	3761.9958	2398.0002	2474.0051	3114.0007	2006.004	1838.0037	1272.9995
TXNRD2	148	204	241	200	212	293	265	234	160
TXNRD3	24.5977	30	25.999996	28	13	21	21.77786	22	8
TXNRD3NB	1.40227	0	0	0	0	0	2.2221	1	0
TYK2	2893	3432	3902	2760	2959	4090	3251	2843	1985
TYMP	1342.3122	1843.5996	2086.2677	1295.808	1248.2604	1588.7125	875.5557	636.4572	524.7131
TYMS	3440.79	3607.03	4232.43	2611.41	2891.96	3805.73	3460.49	3093.87	2242.66
TYR	0	0	0	0	0	0	0	0	0
TYRO3	103.608	112	146	99	73	149	142	101	58
TYRO3P	12.3922	12	9	9	16	26	15	6	6
TYROBP	121.99998	156.99982	151.99979	62.00002	93.00001	113	45.99996	46.00005	39.00002
TYRP1	0	0	0	0	0	0	0	0	1
TYSND1	500.26519	627.29569	739.68634	479.86802	456.4085	628.75151159319	461.14966	419.02425	273.94725
TYW1	575.443	662.765	748.264	490.266	516.19	779.711	531.635	505.033	362.125
TYW1B	105.5566	90.23511	93.7361	70.73375	85.8095	138.2891	106.3651	92.9666	60.8751
TYW3	1029.234	1050.185	1208.9272	714.6716	776.2515	1005.5444	795.16	751.098	469.5437
TYW5	420.518	401.511	463.209	312.4435	298.5381	477.282	352.891	311.739	212.052
U2AF1	1964.9988	2040.0034	2380.0045	1352.9996	1414.9994	1783.9986	1188.9996	1061	755.0003
U2AF1L4	616.0005	806	886	737	770	1074	767	612.9998	469.0001
U2AF2	8338	9330	10405	6853	7325	10604	8107	7108	5458
U2SURP	5865	5907	6672	3561	3473	4622	3005	2694	1941
UACA	49.2957	91.6307	95.4159	77.4764	80.426	117.287	75.8965	48.6641	35.0572
UAP1	604	610	705	380	363	517	355	280	227
UAP1L1	282.225	376.281	450.956	316.885	375.612	535.252	531.504	400.045	332.63
UBA1	11389	12041	13657.03	7912	8065	10410	7094	6163	4551
UBA2	5868	5745	6429	3777	3914	5011	3657	3304	2329
UBA3	1063.9995	1030	1232	763.0003	780.0004	1017.0005	688.0001	630.99951	452.0003
UBA5	942.9996	1034.9954	1090.9958	687	705.9998	996.0004	735.9995	642.9999	439.00041
UBA52	13914.3	13411.83	15132.75	9597.22	9978.33	13279.92	9629.69	8762.22	6425.42
UBA6	2238	2251	2645	1597	1587	1949	1535	1406	1021
UBA7	136	148	200	169	160	213	152	146	111
UBAC1	717	775	813	486	518	721	495	419	327
UBAC2	478.6027	556.15225	653.468	441.2491	506.39758	723.7977	553.9892	464.66	377.80602
UBAC2-AS1	19.39678	34.8476	36.53152	21.7509	22.6024	28.20189	34.0109	22.33999	11.19396
UBALD1	279	342	388	288	272	422	275	234	176
UBALD2	2672	3618	4024	2877	2921	3849	2622	2389	1866
UBAP1	1018.5012	1123.2004	1335.467	987.0618	1006.5183	1391.1183	1028.9132	886.165	638.5736
UBAP1L	17	33	21	14	20	34	25	13	13
UBAP2	3367	3618	4012	2713	2755	4135	3037	2800	2133
UBAP2L	4909	5200	5888	3529	3711	5115	3366	3013	2291.995
UBASH3A	0	0	1	0	1	2	1	1	0
UBASH3B	39.1582	42.4078	45.222	26.2338	46.3124	67.0267	38.4042	43.4074	36.4045
UBB	7886	7716	8950	5516	5566	7135	4764	4302	3082
UBC	10550	10400	11878.5	8203	9011	12130	10811	9793	7137
UBD	0	0	0	0	0	0	0	0	1
UBE2A	1107.99979	1114	1281.997	802.9998	845.0002	1182.997	854	721.00008	493
UBE2B	767	780	833	567	604	784.762	671	608	418.762
UBE2C	1546.00317	1648.99942	1863.00504	817.9995	736.00026	1017.99991	417.99958	343.99996	264.99982
UBE2D1	362.0004	374.0001	399.9997	280	282.0005	365.9999	295.99952	275.99998	196.0003
UBE2D2	2325.426	2449.344	2717.187	1584.466	1660.292	2181.581	1510.858	1389.995	1102.928
UBE2D3	4687.576457474	4761.6572	5222.82076	3073.52625	3325.7057	4275.4114	3052.14161	2688.9998	2010.06851
UBE2D4	181.423	241.653	260.774	217.118	230.741	314.247	236.131	224.991	164.508
UBE2DNL	0	0	0	0	0	0	0	0	0
UBE2E1	1037.0004	934.99984	1155.00071	715.99995	663.00012	884.0001	640.0005	557.0001	430.99993
UBE2E2	296	315	355	211	225	283	249	201	128
UBE2E3	689	758	848	446	454	637.0004	419	360	290
UBE2F	897.888	769.088	887.952	538.116	563.516	680.113	504.411	419.103	280.427
UBE2F-SCLY	230.448	223.187	323.016	307.702	313.829	340.261	303.286	268.897	195.329
UBE2G1	3888.33	4033.03	4560.63	2635.19	2673.18	3523.73	2580.24	2357.09	1698.07
UBE2G2	1929.8278	2180.611	2500.677	1738.7516	1769.9474	2586.9961	1856.81	1592.0944	1198.4097
UBE2H	925.9998	1053.9976	1065.0023	979.0003	1009.0003	1461.0014	1315.9987	1166.9997	833.9996
UBE2I	2265.99905	2364.0047	2719.00453	1542.0012	1555.99882	2048	1428.0018	1309.00005	959.9996
UBE2J1	2673	2658	3001	2181	2184	3003	2609	2398	1795
UBE2J2	746.0004	971.0025	995.0002	603.0003	617.9997	852.1645	571.9996	507.1058	352.99969
UBE2K	2661.0012	2728.9993	2949.0046	1649.99768	1594.0024	2145.9991	1498.001	1293.002	933.99977
UBE2L3	2459.0019	2456.9975	2653.9949	1534.0004	1514.9958	2088.9981	1337.0002	1180.9998	907
UBE2L6	1188.9987	1311.0006	1384.9998	947	972.9998	1357.999	924.9999	837.0004	606.9995
UBE2M	6391.79	7282.87	8042.93	4518.9	4583.74	6541.89	3901.95	3421.85	2498
UBE2MP1	5.20893	3.12696	2.07116	2.10478	5.25811	3.11443	1.04767	3.14746	0
UBE2N	1920	1862.95	2284	1204	1175.94	1448.92	1055.94	929	656
UBE2NL	0	0	1.00102	1	0	0	0	1	0
UBE2O	1165	1234	1509	877	901	1140	930	789	571
UBE2Q1	1489	1691	1819	1118	1151	1529	1074	989	684
UBE2Q2	536.9995	633.9997	645.0003	429.9999	478.0003	619	468	388.9996	275.9999
UBE2Q2P1	65.8624	115.345	138.049	115.911	137.364	238.883	150.798	166.022	120.369
UBE2Q2P2	44.5067	43.1057	48.3598	41.7419	33.2472	48.9793	52.537	53.7258	25.485
UBE2Q2P3	20.037	57.7969	61.7775	44.8972	68.3337	110.681	85.0759	91.401	60.7435
UBE2QL1	0	0	0	0	0	1	0	1	1
UBE2R2	2257	2726	3011	1916	1875	2878	1878	1613	1198
UBE2S	10351	12560	14166	6880	6591	8841	5374	4828	3534
UBE2T	473	499	552	313	347	424	276	258	179
UBE2U	0	0	0	0	0	0	0	0	0
UBE2V1	2240.78824034544	2326.81953633365	2652.36956	1442.16071	1577.01959002135	2292.5064	1427.51362	1201.82148949929	956.087570196
UBE2V2	1004	1031	1105	610	576	807	501	467	309
UBE2W	1073.3951	1151.1387	1246.31	929.8586	894.6529	1284.1332	945.3427	835.24720001217	594.94050138
UBE2Z	1726	2047	2267	1444	1475	2034	1475	1296	950
UBE3A	2792.002	2782.999	3163.999	2145	2179.999	3011.002	2301.001	2106.996	1541.001
UBE3B	739.0004	781.99939	847	639.0003	711.0001	938	710.0004	610.00006	466.0008358204
UBE3C	2362	2753	2958	1857	1810	2438	1737	1609	1102
UBE3D	224	256	261	151	164	240	173	170	112
UBE4A	1823.138	1650.981	1988.043	1288.92	1358.094	1686.007	1370.75	1228.036	853.43100157167
